algoritmo,cenario,tamanho,tempo,trocas,comparacoes
Bubble Sort,Melhor Caso (Ordenado),10,1.2874603271484375e-05,0.0,45.0
Bubble Sort,Caso Médio (Aleatório),10,6.866455078125e-06,23.5,45.0
Bubble Sort,Pior Caso (Inverso),10,1.0728836059570312e-05,45.0,45.0
Bubble Sort,Melhor Caso (Ordenado),100,0.0005147457122802734,0.0,4950.0
Bubble Sort,Caso Médio (Aleatório),100,0.0005284309387207031,2454.8,4950.0
Bubble Sort,Pior Caso (Inverso),100,0.0012760162353515625,4950.0,4950.0
Bubble Sort,Melhor Caso (Ordenado),1000,0.040958404541015625,0.0,499500.0
Bubble Sort,Caso Médio (Aleatório),1000,0.06472773551940918,249441.2,499500.0
Bubble Sort,Pior Caso (Inverso),1000,0.08047604560852051,499500.0,499500.0
Bubble Sort,Melhor Caso (Ordenado),10000,4.177309513092041,0.0,49995000.0
Bubble Sort,Caso Médio (Aleatório),10000,6.605710649490357,25001158.8,49995000.0
Bubble Sort,Pior Caso (Inverso),10000,8.925732612609863,49995000.0,49995000.0
Selection Sort,Melhor Caso (Ordenado),10,1.33514404296875e-05,0.0,45.0
Selection Sort,Caso Médio (Aleatório),10,5.221366882324218e-06,6.8,45.0
Selection Sort,Pior Caso (Inverso),10,7.3909759521484375e-06,5.0,45.0
Selection Sort,Melhor Caso (Ordenado),100,0.0003018379211425781,0.0,4950.0
Selection Sort,Caso Médio (Aleatório),100,0.0003078460693359375,94.6,4950.0
Selection Sort,Pior Caso (Inverso),100,0.00033783912658691406,50.0,4950.0
Selection Sort,Melhor Caso (Ordenado),1000,0.03537774085998535,0.0,499500.0
Selection Sort,Caso Médio (Aleatório),1000,0.035925650596618654,992.6,499500.0
Selection Sort,Pior Caso (Inverso),1000,0.03632688522338867,500.0,499500.0
Selection Sort,Melhor Caso (Ordenado),10000,3.5004703998565674,0.0,49995000.0
Selection Sort,Caso Médio (Aleatório),10000,3.4856210708618165,9989.3,49995000.0
Selection Sort,Pior Caso (Inverso),10000,3.5713071823120117,5000.0,49995000.0
Insertion Sort,Melhor Caso (Ordenado),10,1.239776611328125e-05,0.0,9.0
Insertion Sort,Caso Médio (Aleatório),10,4.673004150390625e-06,23.3,29.8
Insertion Sort,Pior Caso (Inverso),10,8.344650268554688e-06,45.0,45.0
Insertion Sort,Melhor Caso (Ordenado),100,1.3828277587890625e-05,0.0,99.0
Insertion Sort,Caso Médio (Aleatório),100,0.0003112077713012695,2531.3,2625.7
Insertion Sort,Pior Caso (Inverso),100,0.0007503032684326172,4950.0,4950.0
Insertion Sort,Melhor Caso (Ordenado),1000,0.00021600723266601562,0.0,999.0
Insertion Sort,Caso Médio (Aleatório),1000,0.03501319885253906,248682.6,249675.7
Insertion Sort,Pior Caso (Inverso),1000,0.07005715370178223,499500.0,499500.0
Insertion Sort,Melhor Caso (Ordenado),10000,0.0014574527740478516,0.0,9999.0
Insertion Sort,Caso Médio (Aleatório),10000,3.675576424598694,24955222.5,24965211.9
Insertion Sort,Pior Caso (Inverso),10000,7.142865180969238,49995000.0,49995000.0
